rank,topic_id,topic,score,status,stated_parent,stated_share,plurality_parent,plurality_share,neighbour_count,input_sha256
12,T14088,Generational Differences and Trends,0.11045751633986929,review,Life-span and Life-course Studies,0.0,Education,0.7347826086956523,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
13,T12864,Psychoanalysis and Social Critique,0.11029411764705882,review,Cultural Studies,0.0,Philosophy,0.5172413793103449,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
14,T10343,"Hydrogels: synthesis, properties, applications",0.10669934640522875,review,Molecular Medicine,0.0,Biomaterials,0.6219047619047618,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
15,T13211,"Memory, Trauma, and Testimony",0.09999999999999999,review,Experimental and Cognitive Psychology,0.10303030303030304,Literature and Literary Theory,0.5151515151515151,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
16,T12807,Consumer Behavior and Market Dynamics,0.09558823529411765,review,Sociology and Political Science,0.09230769230769231,Education,0.5923076923076923,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
17,T14403,Educational Challenges and Innovations,0.09281045751633989,review,Information Systems,0.0,Education,0.6761904761904762,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
18,T11495,Animal Virus Infections Studies,0.09281045751633987,review,Animal Science and Zoology,0.0,Infectious Diseases,0.5916666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
19,T14176,Interdisciplinary Cultural and Social Studies,0.09264705882352942,review,Sociology and Political Science,0.0,Literature and Literary Theory,0.3662790697674419,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
20,T13666,Postmodernism in Literature and Education,0.09166666666666667,review,Literature and Literary Theory,0.0,General Arts and Humanities,0.3283993978926242,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
21,T12668,Yeasts and Rust Fungi Studies,0.09084967320261438,review,Molecular Biology,0.07589285714285714,"Ecology, Evolution, Behavior and Systematics",0.6964285714285714,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
22,T12437,"Balkans: History, Politics, Society",0.08986928104575163,review,Cultural Studies,0.0,Sociology and Political Science,0.4824561403508772,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
23,T14241,Evasion and Academic Success Factors,0.08899208806329549,review,Demography,0.0,Education,0.9441605839416058,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
24,T12993,Psychology of Development and Education,0.08888888888888889,review,Developmental and Educational Psychology,0.0,Education,0.7999999999999999,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
25,T10660,Conducting polymers and applications,0.08777949776401789,review,Polymers and Plastics,0.0,Biomaterials,0.7282911166607208,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
26,T10005,Ecology and Vegetation Dynamics Studies,0.08709150326797385,review,Nature and Landscape Conservation,0.06148282097649186,Ecology,0.5433996383363472,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
27,T13985,Enterprise Management and Information Systems,0.08627450980392158,review,Management of Technology and Innovation,0.0,Economics and Econometrics,0.43243243243243246,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
28,T13066,Information Society and Technology Trends,0.08550420168067227,review,General Social Sciences,0.0,Education,0.34786324786324785,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
29,T13663,"Sustainability, Environment, and Optimization Algorithms",0.08529411764705883,review,Water Science and Technology,0.0,Global and Planetary Change,0.41428571428571426,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
30,T13384,Regional Economic Development and Innovation,0.08447712418300654,review,Strategy and Management,0.16221198156682026,Economics and Econometrics,0.6387096774193548,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
31,T13529,Education Systems and Policies,0.08431372549019608,review,Management of Technology and Innovation,0.0,Education,0.7166666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
32,T13070,Cultural Identity and Heritage,0.08333333333333333,review,Archeology,0.0,Sociology and Political Science,0.303030303030303,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
33,T12242,Latin American and Latino Studies,0.08333333333333331,review,Cultural Studies,0.19999999999999998,Literature and Literary Theory,0.4857142857142857,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
34,T14426,"Religion, Gender, and Enlightenment",0.08251633986928104,review,Religious studies,0.0,Sociology and Political Science,0.5976331360946745,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
35,T14380,Libraries and Information Services,0.08169934640522876,review,Museology,0.0,Literature and Literary Theory,0.4807692307692307,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
36,T13351,Critical Theory and Political Philosophy,0.08169934640522875,review,Education,0.0,Philosophy,0.5681818181818181,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
37,T13573,"Government, Law, and Information Management",0.07973856209150326,review,Law,0.1789473684210526,Political Science and International Relations,0.8210526315789473,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
38,T12671,Management and Marketing Education,0.07846577227382182,review,Management of Technology and Innovation,0.0,Education,0.7018461538461539,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
39,T13229,Gothic Literature and Media Analysis,0.07794117647058824,review,Cultural Studies,0.192,Literature and Literary Theory,0.616,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
40,T13245,Samuel Beckett and Modernism,0.07794117647058824,review,Literature and Literary Theory,0.07351351351351351,Philosophy,0.5891891891891893,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
41,T13368,University Challenges and Reforms,0.07794117647058824,review,Education,0.11191709844559587,Sociology and Political Science,0.6062176165803109,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
42,T12454,European Political History Analysis,0.07777777777777777,review,History,0.0,Sociology and Political Science,0.6999999999999998,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
43,T14308,Psychological and Educational Research Studies,0.07777777777777777,review,Experimental and Cognitive Psychology,0.0,Education,0.6999999999999998,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
44,T14131,Giambattista Vico and Joyce,0.07619047619047618,review,History and Philosophy of Science,0.0,Classics,0.19439252336448598,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
45,T12662,Digitalization and Economic Development in Agriculture,0.07598039215686274,review,Strategy and Management,0.0,Economics and Econometrics,0.42043399638336343,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
46,T12375,Cuban History and Society,0.07598039215686272,review,Sociology and Political Science,0.13991769547325103,Cultural Studies,0.45884773662551437,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
47,T13611,"Education, Management, Technology, Human Resources",0.07516339869281045,review,Information Systems and Management,0.0,Organizational Behavior and Human Resource Management,0.5476190476190476,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
48,T14301,Educational methodologies and cognitive development,0.07516339869281045,review,Developmental and Educational Psychology,0.0,Education,0.4791666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
49,T13749,"Hungarian Social, Economic and Educational Studies",0.075,review,"Geography, Planning and Development",0.0,Economics and Econometrics,0.3384955752212389,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
50,T13818,Cultural Studies and Colonialism,0.075,review,Religious studies,0.0,Cultural Studies,0.31875,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
51,T12889,"Psychoanalysis, Philosophy, and Politics",0.07470760233918128,review,Clinical Psychology,0.0,Sociology and Political Science,0.5873563218390804,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
52,T12573,Education and Digital Technologies,0.07320261437908497,review,Sociology and Political Science,0.0,Education,0.5301775147928994,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
53,T14216,Multimedia Learning Systems,0.07320261437908497,review,Information Systems,0.09444444444444444,Education,0.7166666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
54,T13565,Education and Learning Interventions,0.07320261437908496,review,Information Systems,0.21999999999999997,Education,0.7799999999999999,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
55,T14168,Occupational Health and Global Justice,0.07320261437908496,review,Health,0.0,Political Science and International Relations,0.6222222222222221,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
56,T14355,Historical Studies of British Isles,0.07320261437908496,review,History,0.0,Sociology and Political Science,0.6222222222222221,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
57,T12968,Research on scale insects,0.07140522875816993,review,Insect Science,0.11191709844559587,"Ecology, Evolution, Behavior and Systematics",0.5647668393782384,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
58,T13694,Immigration Law and Human Rights,0.07140522875816993,review,Urban Studies,0.0,Political Science and International Relations,0.4528497409326425,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
59,T11155,Toxoplasma gondii Research Studies,0.07140522875816992,review,Parasitology,0.07351351351351351,Infectious Diseases,0.5459459459459459,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
60,T12862,Catholicism and Religious Studies,0.07058823529411766,review,History,0.0,Philosophy,0.3673469387755102,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
61,T13317,"Media, Communication, and Education",0.07058823529411766,review,Communication,0.0,Education,0.35380835380835385,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
62,T12346,Phytochemistry and biological activity of medicinal plants,0.07058823529411765,review,Plant Science,0.0,Complementary and alternative medicine,0.41538461538461535,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
63,T12623,"Cultural, Media, and Literary Studies",0.07058823529411765,review,Philosophy,0.0,Sociology and Political Science,0.45,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
64,T14246,E-Learning and Knowledge Management,0.07058823529411765,review,Computer Science Applications,0.0,Education,0.46956521739130436,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
65,T14346,Scientific Innovation and Industrial Efficiency,0.07058823529411765,review,General Decision Sciences,0.0,Education,0.33768844221105526,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
66,T12497,Traditional and Medicinal Uses of Annonaceae,0.06944444444444445,review,Biochemistry,0.0,Molecular Biology,0.5828220858895706,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
67,T13743,Italian Literature and Culture,0.06862745098039216,review,General Arts and Humanities,0.0,Cultural Studies,0.525,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
68,T14485,Language Acquisition and Education,0.06862745098039216,review,Developmental and Educational Psychology,0.0,Education,0.525,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
69,T14496,Educational Technology and E-Learning,0.06862745098039216,review,Information Systems,0.0894736842105263,Education,0.6421052631578947,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
70,T10220,Machine Fault Diagnosis Techniques,0.06862745098039215,review,Control and Systems Engineering,0.0,Artificial Intelligence,0.5526315789473684,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
71,T12751,Leadership and Management in Organizations,0.06862745098039215,review,Strategy and Management,0.1789473684210526,Organizational Behavior and Human Resource Management,0.731578947368421,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
72,T14418,"Development, Ethics, and Society",0.06862745098039215,review,Development,0.0,Sociology and Political Science,0.5526315789473684,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
73,T13802,Vietnamese History and Culture Studies,0.06785714285714287,review,Sociology and Political Science,0.09581468807580941,Literature and Literary Theory,0.2908660173729929,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
74,T12803,Cinema History and Criticism,0.06785714285714285,review,Visual Arts and Performing Arts,0.0,Literature and Literary Theory,0.21923076923076926,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
75,T12667,Economic and Technological Developments in Russia,0.06764705882352942,review,Development,0.09191489361702128,Economics and Econometrics,0.4442553191489362,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
76,T12337,Italian Fascism and Post-war Society,0.06764705882352941,review,Sociology and Political Science,0.10580912863070539,Literature and Literary Theory,0.3921161825726141,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
77,T13586,"HIV, TB, and STIs Epidemiology",0.06764705882352941,review,General Social Sciences,0.0,Demography,0.2955032119914347,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
78,T10484,Wood Treatment and Properties,0.06666666666666667,review,Building and Construction,0.0,Mechanical Engineering,0.6333333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
79,T12102,Fire effects on concrete materials,0.06666666666666667,review,Civil and Structural Engineering,0.0,Mechanical Engineering,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
80,T12427,Metal Alloys Wear and Properties,0.06666666666666667,review,Materials Chemistry,0.0,Mechanical Engineering,0.6333333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
81,T13408,Corporate Law and Human Rights,0.06666666666666667,review,Organizational Behavior and Human Resource Management,0.0,Political Science and International Relations,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
82,T13659,Ombudsman and Human Rights,0.06666666666666667,review,Sociology and Political Science,0.0,Political Science and International Relations,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
83,T13671,Philosophy and Phenomenology Studies,0.06666666666666667,review,General Social Sciences,0.12903225806451613,Philosophy,0.3870967741935484,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
84,T13839,"Tourism, Volunteerism, and Development",0.06666666666666667,review,Demography,0.0,Sociology and Political Science,0.5666666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
85,T13961,Socioeconomics of Resources and Conservation,0.06666666666666667,review,Economics and Econometrics,0.0,General Agricultural and Biological Sciences,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
86,T14128,Metallurgical and Alloy Processes,0.06666666666666667,review,General Materials Science,0.0,Mechanical Engineering,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
87,T14243,Creative Drama in Education,0.06666666666666667,review,Visual Arts and Performing Arts,0.0,Education,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
88,T14489,Basque language and culture studies,0.06666666666666667,review,Cultural Studies,0.21874999999999997,Literature and Literary Theory,0.46875,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
89,T10616,Smart Agriculture and AI,0.06486928104575164,review,Plant Science,0.0,Computer Networks and Communications,0.4698224852071006,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
90,T12195,Aerogels and thermal insulation,0.0642844857241142,review,Spectroscopy,0.0,Materials Chemistry,0.6284153005464481,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
91,T12615,Climate Change and Geoengineering,0.0641812865497076,review,Global and Planetary Change,0.0489795918367347,Sociology and Political Science,0.6462585034013606,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
92,T10128,Global trade and economics,0.06405228758169935,review,"General Economics, Econometrics and Finance",0.0,Economics and Econometrics,0.37333333333333335,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
93,T10151,Hepatitis C virus research,0.06405228758169935,review,Hepatology,0.0,Infectious Diseases,0.46666666666666673,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
94,T14518,American Sports and Literature,0.06405228758169935,review,History,0.0,Literature and Literary Theory,0.3751196172248804,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
95,T10471,Climate Change Policy and Economics,0.06405228758169934,review,Economics and Econometrics,0.0,Global and Planetary Change,0.4454545454545455,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
96,T12627,Graphene and Nanomaterials Applications,0.06405228758169934,review,Biomedical Engineering,0.0,Biomaterials,0.4454545454545455,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
97,T14419,Banking Systems and Strategies,0.06405228758169934,review,Accounting,0.0,Economics and Econometrics,0.4454545454545455,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
98,T12124,Engineering Education and Curriculum Development,0.06209150326797386,review,Media Technology,0.0,Education,0.6202749140893471,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
99,T12542,Second Language Learning and Teaching,0.06209150326797386,review,Literature and Literary Theory,0.0,Education,0.5,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
100,T13217,Pigment Synthesis and Properties,0.06209150326797386,review,Inorganic Chemistry,0.0,Materials Chemistry,0.5247093023255814,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
101,T14248,Social impacts of COVID-19,0.06209150326797386,review,Safety Research,0.0,Education,0.5277777777777778,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
102,T14359,Wetland Management and Conservation,0.06209150326797386,review,Ocean Engineering,0.0,Global and Planetary Change,0.5277777777777778,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
103,T14305,Modern American Literature Studies,0.062091503267973844,review,Literature and Literary Theory,0.09444444444444444,Philosophy,0.6222222222222221,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
104,T10748,Growth Hormone and Insulin-like Growth Factors,0.0608187134502924,review,"Endocrinology, Diabetes and Metabolism",0.0,Molecular Biology,0.65,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
105,T12732,Agriculture and Farm Safety,0.0608187134502924,review,Plant Science,0.0,Clinical Psychology,0.7428571428571429,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
106,T12815,Management and Organizational Practices,0.060504201680672276,review,Strategy and Management,0.18086124401913875,Organizational Behavior and Human Resource Management,0.4909090909090909,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
107,T14151,Literary Analysis and Cultural Studies,0.06029411764705884,review,History and Philosophy of Science,0.0,Philosophy,0.31538461538461543,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
108,T14315,Feminist Theory and Gender Studies,0.06029411764705884,review,Gender Studies,0.0,Sociology and Political Science,0.31538461538461543,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
109,T10823,Research on Leishmaniasis Studies,0.06029411764705883,review,"Public Health, Environmental and Occupational Health",0.0,Infectious Diseases,0.328,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
110,T11113,Music History and Culture,0.06029411764705883,review,Music,0.0,Sociology and Political Science,0.328,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
111,T12758,Saffron Plant Research Studies,0.06029411764705883,review,Oncology,0.0,Complementary and alternative medicine,0.33853211009174317,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
112,T13040,"Gender, Education, and Development Issues",0.06029411764705883,review,Education,0.0,"Management, Monitoring, Policy and Law",0.35311004784689,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
113,T14298,Cultural and Social Studies,0.06029411764705883,review,Cultural Studies,0.0,Sociology and Political Science,0.398918918918919,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
114,T13007,Economic Sanctions and International Relations,0.06023391812865497,review,Economics and Econometrics,0.0,Political Science and International Relations,0.6813229571984436,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
115,T10223,Microgrid Control and Optimization,0.05906432748538011,review,Control and Systems Engineering,0.0,Electrical and Electronic Engineering,0.9181818181818181,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
116,T12126,Maritime Transport Emissions and Efficiency,0.05902132782937737,review,Environmental Engineering,0.0,Global and Planetary Change,0.5177668804224822,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
117,T12872,Philippine History and Culture,0.05833333333333333,review,Anthropology,0.0,Sociology and Political Science,0.21874999999999997,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
118,T13504,African history and culture analysis,0.05833333333333333,review,Political Science and International Relations,0.0,Sociology and Political Science,0.2249527410207939,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
119,T14000,"Cultural, Social, and Media Studies",0.05833333333333333,review,Sociology and Political Science,0.0,Visual Arts and Performing Arts,0.20588235294117646,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
120,T14235,"Linguistic, Cultural, and Literary Studies",0.05833333333333333,review,Sociology and Political Science,0.0,Classics,0.25481798715203424,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
121,T11686,Dendrimers and Hyperbranched Polymers,0.05833333333333332,review,Polymers and Plastics,0.0,Materials Chemistry,0.40338983050847455,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
122,T11042,Corruption and Economic Development,0.05751633986928105,review,Sociology and Political Science,0.08047337278106509,Political Science and International Relations,0.4970414201183432,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
123,T11648,"Diaspora, migration, transnational identity",0.05751633986928105,review,Demography,0.1125,Sociology and Political Science,0.4791666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
124,T14490,Human Rights and Immigration,0.05751633986928105,review,Sociology and Political Science,0.08047337278106509,Political Science and International Relations,0.4970414201183432,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
125,T10487,Plant and animal studies,0.05751633986928104,review,"Ecology, Evolution, Behavior and Systematics",0.0,Ecology,0.36476683937823834,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
126,T11051,Sirtuins and Resveratrol in Medicine,0.05751633986928104,review,Geriatrics and Gerontology,0.0,Molecular Biology,0.43999999999999995,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
127,T12775,Legal Issues in South Africa,0.05751633986928104,review,Law,0.26842105263157895,Political Science and International Relations,0.731578947368421,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
128,T12869,Occupational Health and Burnout,0.05751633986928104,review,Occupational Therapy,0.0,Clinical Psychology,0.4832369942196531,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
129,T13894,Indian Economic and Social Development,0.05751633986928104,review,Economics and Econometrics,0.0,Sociology and Political Science,0.43999999999999995,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
130,T12213,Marine Ecology and Invasive Species,0.057516339869281036,review,Global and Planetary Change,0.0,Ecology,0.39999999999999997,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
131,T13906,Social Issues and Policies,0.057516339869281036,review,Safety Research,0.0,Sociology and Political Science,0.39999999999999997,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
132,T14260,Impact of AI and Big Data on Business and Society,0.057516339869281036,review,Management Science and Operations Research,0.0,Information Systems,0.39774011299435025,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
133,T13016,Innovative Educational Technologies,0.05669934640522877,review,Information Systems,0.2188118811881188,Education,0.5623762376237624,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
134,T14356,Organizational Leadership and Management Strategies,0.055555555555555566,review,Strategy and Management,0.23157894736842102,Organizational Behavior and Human Resource Management,0.6789473684210526,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
