topic_id,topic,subfield_id,subfield,field_id,field,domain_id,domain,works_count,cited_by_count,sibling_count,keyword_count,created_date,updated_date
T12692,Magnetic Field Sensors Techniques,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,408437,156114,116,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T12565,Physics and Engineering Research Articles,2206,Computational Mechanics,22,Engineering,3,Physical Sciences,398125,536109,29,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T11803,Superconducting and THz Device Technology,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,394067,215035,20,10,2024-01-23T15:27:11,2026-09-22T03:01:44
T10017,Geology and Paleoclimatology Research,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences,389127,6643060,12,10,2024-01-23T15:27:04,2026-09-22T03:01:44
T10893,Chinese history and philosophy,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,387042,733545,223,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T12409,Reformation and Early Modern Christianity,1202,History,12,Arts and Humanities,2,Social Sciences,386456,606174,43,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T10733,Wheat and Barley Genetics and Pathology,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,384268,1196900,89,10,2024-01-23T15:27:07,2026-09-22T03:01:44
T11044,Particle Detector Development and Performance,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,383169,354149,12,10,2024-01-23T15:27:09,2026-09-22T03:01:44
T11986,Scientific Computing and Data Management,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,370750,589763,14,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T11175,Gyrotron and Vacuum Electronics Research,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,367345,387079,36,10,2024-01-23T15:27:09,2026-09-22T03:01:44
T10001,Geological and Geochemical Analysis,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,358477,8383252,9,10,2024-01-23T15:27:04,2026-09-22T03:01:44
T10384,Laser-Plasma Interactions and Diagnostics,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,357561,905222,12,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T11937,Research Data Management Practices,1710,Information Systems,17,Computer Science,3,Physical Sciences,353398,208285,77,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T13800,Earthquake and Disaster Impact Studies,3313,Transportation,33,Social Sciences,2,Social Sciences,353346,119314,8,10,2024-01-23T15:27:20,2026-09-22T03:01:44
T13641,Historical Studies and Socio-cultural Analysis,1207,History and Philosophy of Science,12,Arts and Humanities,2,Social Sciences,348849,379067,18,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T13884,Educational Leadership and Practices,3304,Education,33,Social Sciences,2,Social Sciences,348505,353409,136,10,2024-01-23T15:27:20,2026-09-22T03:01:44
T12836,History and Developments in Astronomy,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,348343,407099,20,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T13710,European and International Law Studies,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,346592,467955,117,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T13184,Research in Social Sciences,3304,Education,33,Social Sciences,2,Social Sciences,346111,225992,136,10,2024-01-23T15:27:17,2026-09-22T03:01:44
T12713,Forest Ecology and Biodiversity Studies,1109,Insect Science,11,Agricultural and Biological Sciences,1,Life Sciences,345265,535425,13,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10744,Astrophysical Phenomena and Observations,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,344190,1584033,20,10,2024-01-23T15:27:07,2026-09-22T03:01:44
T13297,History and advancements in chemistry,1606,Physical and Theoretical Chemistry,16,Chemistry,3,Physical Sciences,342681,1603147,7,10,2024-01-23T15:27:17,2026-09-22T03:01:44
T13459,Public Administration and Political Analysis,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,337400,218483,117,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T13624,Social Sciences and Policies,3300,General Social Sciences,33,Social Sciences,2,Social Sciences,337113,297117,15,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T13396,Agriculture and Rural Development Research,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,334379,630240,32,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T13167,"Historical, Literary, and Cultural Studies",1205,Classics,12,Arts and Humanities,2,Social Sciences,332654,202510,4,10,2024-01-23T15:27:17,2026-09-22T03:01:44
T12454,European Political History Analysis,1202,History,12,Arts and Humanities,2,Social Sciences,331258,278402,43,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T10995,Methane Hydrates and Related Phenomena,2304,Environmental Chemistry,23,Environmental Science,3,Physical Sciences,325985,1821877,10,10,2024-01-23T15:27:09,2026-09-22T03:01:44
T13650,Computational Physics and Python Applications,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,323716,681325,76,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T13033,Social Sciences and Governance,3322,Urban Studies,33,Social Sciences,2,Social Sciences,321986,325405,18,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T12983,Satellite Image Processing and Photogrammetry,2212,Ocean Engineering,22,Engineering,3,Physical Sciences,320414,143772,22,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T12527,Chemistry and Stereochemistry Studies,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences,316345,185796,60,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T12826,Education Methods and Technologies,3304,Education,33,Social Sciences,2,Social Sciences,315124,131301,136,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10325,Astro and Planetary Science,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,314473,2889168,20,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T12954,Law and Political Science,3308,Law,33,Social Sciences,2,Social Sciences,313825,180004,39,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T13602,Educational Methods and Media Use,1710,Information Systems,17,Computer Science,3,Physical Sciences,313518,705467,77,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T13532,Education Systems and Policy,3304,Education,33,Social Sciences,2,Social Sciences,312368,1664763,136,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T12930,Biomedical and Chemical Research,2746,Surgery,27,Medicine,4,Health Sciences,310552,355821,95,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T11776,Irish and British Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,308679,501247,223,10,2024-01-23T15:27:11,2026-09-22T03:01:44
T12765,"Race, History, and American Society",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,308665,1358674,223,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T11405,Geophysics and Gravity Measurements,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,302215,1112385,8,10,2024-01-23T15:27:10,2026-09-22T03:01:44
T12021,Social and Educational Sciences,3304,Education,33,Social Sciences,2,Social Sciences,298563,196554,136,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T11857,Archaeological and Historical Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences,297484,247202,19,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T12012,Diatoms and Algae Research,2502,Biomaterials,25,Materials Science,3,Physical Sciences,297266,801867,12,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T10181,Natural Language Processing Techniques,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,296961,3060816,76,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T12455,Mediterranean and Iberian flora and fauna,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,296761,413813,89,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T13275,Medical and Health Sciences Research,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,290488,195135,53,10,2024-01-23T15:27:17,2026-09-22T03:01:44
T11132,Psychoanalysis and Psychopathology Research,3203,Clinical Psychology,32,Psychology,2,Social Sciences,287218,295689,37,10,2024-01-23T15:27:09,2026-09-22T03:01:44
T12990,Medical History and Innovations,1202,History,12,Arts and Humanities,2,Social Sciences,286846,316980,43,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T13372,Archaeology and Historical Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences,285899,635374,19,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T12618,Botany and Plant Ecology Studies,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,284999,1043265,89,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T11974,Lepidoptera: Biology and Taxonomy,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,283598,392662,39,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T12768,Linguistics and language evolution,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,282892,545941,19,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T12909,French Historical and Cultural Studies,1202,History,12,Arts and Humanities,2,Social Sciences,282570,240347,43,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T12170,History and Theory of Mathematics,2614,Theoretical Computer Science,26,Mathematics,3,Physical Sciences,282241,902933,0,10,2024-01-23T15:27:13,2026-09-22T03:01:44
T13444,Medical Research and Treatments,2707,Complementary and alternative medicine,27,Medicine,4,Health Sciences,280184,48323,19,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T13099,"Health, Medicine and Society",3600,General Health Professions,36,Health Professions,4,Health Sciences,279758,155638,49,10,2024-01-23T15:27:17,2026-09-22T03:01:44
T10391,Healthcare Policy and Management,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,278757,1689612,78,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T11530,Business and Management Studies,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,278543,289553,14,10,2024-01-23T15:27:10,2026-09-22T03:01:44
T12917,Astronomy and Astrophysical Research,3105,Instrumentation,31,Physics and Astronomy,3,Physical Sciences,278399,692821,1,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T10487,Plant and animal studies,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,276185,5612920,32,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T11583,Advanced Measurement and Metrology Techniques,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences,274800,387592,78,10,2024-01-23T15:27:11,2026-09-22T03:01:44
T10908,Analytical Chemistry and Chromatography,1607,Spectroscopy,16,Chemistry,3,Physical Sciences,274064,3794292,11,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T13556,Historical Influence and Diplomacy,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,272996,148486,117,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T12613,X-ray Diffraction in Crystallography,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,272968,1204511,68,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T14021,Medieval European Literature and History,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,272132,163386,19,10,2024-01-23T15:27:20,2026-09-22T03:01:44
T14162,Historical and Literary Studies,3314,Anthropology,33,Social Sciences,2,Social Sciences,270697,338408,24,10,2024-01-23T15:27:21,2026-09-22T03:01:44
T10290,Pregnancy and preeclampsia studies,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences,269612,2042677,7,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T12797,History of Computing Technologies,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences,269608,168157,9,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10037,Physics of Superconductivity and Magnetism,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences,269302,4168170,7,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T11993,Atomic and Subatomic Physics Research,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,267161,716329,36,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T13015,"Botany, Ecology, and Taxonomy Studies",1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,265392,682523,89,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T13937,"Genetics, Bioinformatics, and Biomedical Research",1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,263508,1347032,134,10,2024-01-23T15:27:20,2026-09-22T03:01:44
T10039,"Stellar, planetary, and galactic studies",3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,262886,4057461,20,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T12645,European history and politics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,261541,517897,117,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T10259,Sociology and Education Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,260335,704246,223,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10351,Liver Disease Diagnosis and Treatment,2713,Epidemiology,27,Medicine,4,Health Sciences,256140,3625437,41,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T13622,Historical and Environmental Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,255575,126487,223,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T10095,Cosmology and Gravitation Theories,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,255545,3670637,20,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10597,Nuclear reactor physics and engineering,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,255278,584640,43,10,2024-01-23T15:27:07,2026-09-22T03:01:44
T10021,EFL/ESL Teaching and Learning,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,254980,1947897,19,10,2024-01-23T15:27:04,2026-09-22T03:01:44
T12219,Canadian Identity and History,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,253830,403293,223,10,2024-01-23T15:27:13,2026-09-22T03:01:44
T10320,Neural Networks and Applications,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,251862,4479272,76,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T12148,Brazilian Legal Issues,3308,Law,33,Social Sciences,2,Social Sciences,249390,178313,39,10,2024-01-23T15:27:13,2026-09-22T03:01:44
T10825,Plant Pathogens and Fungal Diseases,1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,247286,2323144,16,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T12705,Educational Reforms and Innovations,2307,"Health, Toxicology and Mutagenesis",23,Environmental Science,3,Physical Sciences,246010,31373,15,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T11159,Manufacturing Process and Optimization,2209,Industrial and Manufacturing Engineering,22,Engineering,3,Physical Sciences,245080,1143669,16,10,2024-01-23T15:27:09,2026-09-22T03:01:44
T13068,Ancient Mediterranean Archaeology and History,1204,Archeology,12,Arts and Humanities,2,Social Sciences,244050,391470,19,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T14134,Medical and Biological Sciences,2702,Anatomy,27,Medicine,4,Health Sciences,243450,418298,0,10,2024-01-23T15:27:21,2026-09-22T03:01:44
T10794,Islamic Studies and History,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,243222,693546,117,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T11354,Evolution and Paleontology Studies,1911,Paleontology,19,Earth and Planetary Sciences,3,Physical Sciences,243180,1605828,6,10,2024-01-23T15:27:10,2026-09-22T03:01:44
T10128,Global trade and economics,2000,"General Economics, Econometrics and Finance",20,"Economics, Econometrics and Finance",2,Social Sciences,243056,2058931,11,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10559,Particle Accelerators and Free-Electron Lasers,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,242432,363733,116,10,2024-01-23T15:27:07,2026-09-22T03:01:44
T12641,Historical and socio-economic studies of Spain and related regions,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,242234,108625,78,10,2024-01-23T15:27:15,2026-09-22T03:01:44
T13064,Dutch Social and Cultural Studies,3304,Education,33,Social Sciences,2,Social Sciences,241138,97087,136,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T10255,Oceanographic and Atmospheric Processes,1910,Oceanography,19,Earth and Planetary Sciences,3,Physical Sciences,240893,2125642,8,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T12373,Linguistic research and analysis,1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,240213,451948,19,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T13749,"Hungarian Social, Economic and Educational Studies",3305,"Geography, Planning and Development",33,Social Sciences,2,Social Sciences,239366,79348,14,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T10385,Plant Diversity and Evolution,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,239023,1149437,32,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T10038,Tuberculosis Research and Epidemiology,2725,Infectious Diseases,27,Medicine,4,Health Sciences,237736,2684523,20,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T13621,Ancient and Medieval Archaeology Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences,237556,185335,19,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T10153,"Education, sociology, and vocational training",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,236637,359114,223,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T14102,Corporate Governance and Law,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,236023,237341,41,10,2024-01-23T15:27:21,2026-09-22T03:01:44
T14388,Medieval European History and Architecture,1204,Archeology,12,Arts and Humanities,2,Social Sciences,234053,61114,19,10,2024-01-23T15:27:22,2026-09-22T03:01:44
T13379,"Multiculturalism, Politics, Migration, Gender",3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,233460,313612,117,10,2024-01-23T15:27:18,2026-09-22T03:01:44
T13053,SMEs Development and Digital Marketing,3317,Demography,33,Social Sciences,2,Social Sciences,233253,400232,26,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T13255,"Business, Innovation, and Economy",2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,232744,142126,78,10,2024-01-23T15:27:17,2026-09-22T03:01:44
T14449,Education and Character Development,3304,Education,33,Social Sciences,2,Social Sciences,232343,531850,136,10,2024-01-23T15:27:22,2026-09-22T03:01:44
T12568,Plant Taxonomy and Phylogenetics,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,232140,443640,32,10,2024-01-23T15:27:14,2026-09-22T03:01:44
T14495,Public Health and Nutrition,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,231595,382584,19,10,2024-01-23T15:27:22,2026-09-22T03:01:44
T10605,Historical Economic and Social Studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,230330,1012952,78,10,2024-01-23T15:27:07,2026-09-22T03:01:44
T10025,Black Holes and Theoretical Physics,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,229815,4306769,12,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10332,Amphibian and Reptile Biology,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,229558,1474195,29,10,2024-01-23T15:27:06,2026-09-22T03:01:44
T11463,Classical Philosophy and Thought,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,227377,1314605,48,10,2024-01-23T15:27:10,2026-09-22T03:01:44
T13031,Civil and Structural Engineering Research,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,226125,172098,41,10,2024-01-23T15:27:16,2026-09-22T03:01:44
T11930,"Cardiac, Anesthesia and Surgical Outcomes",2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences,225757,1385294,28,10,2024-01-23T15:27:12,2026-09-22T03:01:44
T13607,Academic Publishing and Open Access,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences,225530,111653,14,10,2024-01-23T15:27:19,2026-09-22T03:01:44
T10077,Neuroscience and Neuropharmacology Research,2804,Cellular and Molecular Neuroscience,28,Neuroscience,1,Life Sciences,225113,8706785,12,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10224,Quantum Chromodynamics and Particle Interactions,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,224631,1994252,12,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T14156,Engineering Applied Research,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,223494,182612,41,10,2024-01-23T15:27:21,2026-09-22T03:01:44
T10093,Nuclear physics research studies,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,222230,2822324,12,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T10192,Catalytic Processes in Materials Science,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,220941,4895999,68,10,2024-01-23T15:27:05,2026-09-22T03:01:44
T14109,Scottish History and National Identity,1202,History,12,Arts and Humanities,2,Social Sciences,220912,349441,43,10,2024-01-23T15:27:21,2026-09-22T03:01:44
T10910,Corporate Governance and Management,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,220582,375248,41,10,2024-01-23T15:27:08,2026-09-22T03:01:44
T10166,Mosquito-borne diseases and control,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,219107,3018135,53,10,2024-01-23T15:27:05,2026-09-22T03:01:44
